epoch,acc,binary_accuracy,loss,val_acc,val_binary_accuracy,val_loss
0,0.638349526896,0.638349526896,1.90780918605,0.600000005215,0.600000005215,0.632722243667
1,0.779126224599,0.779126224599,0.492772378932,0.75,0.75,0.291305375096
2,0.836569586859,0.836569586859,0.416883170092,0.97500000149,0.97500000149,0.0938055016013
3,0.838187710283,0.838187710283,0.399839237625,0.900000002235,0.900000002235,0.294464439154
4,0.862459553496,0.862459553496,0.363613739462,0.850000003353,0.850000003353,0.340863670222
5,0.88268609017,0.88268609017,0.325256840896,0.97500000149,0.97500000149,0.152020664886
6,0.904530748882,0.904530748882,0.316809183487,1.0,1.0,0.0904217531206
7,0.89886731922,0.89886731922,0.299711636558,0.92500000447,0.92500000447,0.186197791714
8,0.918284793791,0.918284793791,0.266674613654,0.95000000298,0.95000000298,0.146678906283
9,0.917475732833,0.917475732833,0.251981847238,0.92500000447,0.92500000447,0.154174123541
10,0.908576056036,0.908576056036,0.284360345351,0.75,0.75,0.211169440925
11,0.909385117826,0.909385117826,0.260570080921,0.97500000149,0.97500000149,0.10156965036
12,0.923139163037,0.923139163037,0.244092378847,0.92500000447,0.92500000447,0.137043584982
13,0.924757285677,0.924757285677,0.265528803954,0.92500000447,0.92500000447,0.164453210484
14,0.912621363829,0.912621363829,0.251643466354,0.95000000298,0.95000000298,0.124132773562
15,0.922330100885,0.922330100885,0.221044314709,1.0,1.0,0.131216891641
16,0.927184469636,0.927184469636,0.225464147545,0.95000000298,0.95000000298,0.110824442119
17,0.922330101235,0.922330101235,0.253122923626,0.92500000447,0.92500000447,0.131754186557
18,0.93122977708,0.93122977708,0.226959235266,0.95000000298,0.95000000298,0.0981477118548
19,0.943365698927,0.943365698927,0.1868622615,0.95000000298,0.95000000298,0.110510239692
20,0.936893207524,0.936893207524,0.213058660862,0.92500000447,0.92500000447,0.146315623046
21,0.936084146084,0.936084146084,0.201419551787,0.92500000447,0.92500000447,0.115497132194
22,0.935275084583,0.935275084583,0.198689308341,0.95000000298,0.95000000298,0.090889225894
23,0.943365699048,0.943365699048,0.195550898424,0.95000000298,0.95000000298,0.102674342383
24,0.940129453407,0.940129453407,0.194775416442,0.97500000149,0.97500000149,0.0967746752794
